,caption,date,likes,comments,shortcode
22,"¿Van a llevar a su TDC Nu de vacaciones? Deja un emoji diciendo a dónde van 👇🏼 

Recuerda que tu tarjeta de crédito Nu al ser Mastercard, la aceptan miles de negocios alrededor del mundo. Para consejos sobre cómo no gastar de más en vacaciones, entra a #BlogNu",2024-03-27 20:35:22,377,28,C5CAGGer7ik
23,"Nos gusta que las Cuentas siempre sean claras.

Por eso, te contamos que la tasa de rendimiento de Cuenta Nu será de 14.75% a partir del 16 de abril y tendrá vigencia hasta el 23 de mayo de 2024.

Descubre por qué las tasas cambian en nuestro #BlogNu",2024-03-26 14:37:55,1578,138,C4-yVAOrx5U
24,Etiqueta a esa persona con la que viajas para que juntos creen un presupuesto y eviten gastar de más. ¿A dónde irán de viaje con su moradita? 💜,2024-03-25 23:49:38,224,13,C49M3VSLmY_
25,"Mujeres en Nu reflexionan sobre la importancia de la educación financiera en las mujeres y la urgencia de crear más espacios inclusivos en el sector tecnológico. 

Para leer más sobre la entrevistas con Xime y Cami entra a #BlogNu",2024-03-22 20:02:20,294,6,C41Ed-DL8_f
26,"Les compartimos un extracto de nuestra plática con Cris Junqueira, Cofundadora y CGO de Nu, sobre los grandes planes que tenemos para México este año.",2024-03-21 22:22:53,234,8,C4yvtLJrKbp
27,"Cuando la CDMX se pinta de morado, se respira la libertad financiera de Nu en el aire 💜. Hoy día del color, celebramos el morado de Nu con esta hermosa vista.",2024-03-21 17:47:42,454,11,C4yQNplr1Vt
28,"Conseguir el equilibrio financiero ahora es más relajante que nunca. Conoce la experiencia auditiva que Academia Nu creó para ti en el piso 3 del Museo MIDE. Para saber más e inscribirte gratis al curso, entra al link de la bio. Numasté 🧘 ☯️",2024-03-20 21:45:24,363,31,C4wGea9pOz-
29,"¡El futuro de los servicios financieros es ahora! Estamos orgullosos de anunciar que Nu ha sido reconocida nuevamente como la Compañía más Innovadora de América Latina por @fastcompany.

Es la cuarta vez que Nu está incluida en la lista de las Empresas más Innovadoras del Mundo y ocupa el primer puesto en la categoría de América Latina.

A los clientes y Nubankers que siempre han soñado con nosotros, ¡muchas gracias! 🏆 💜",2024-03-20 00:56:09,699,23,C4t3tTirOsy
30,"El meteorito morado de la Era Nu llegó con Cuenta Nu, que te da servicio 24/7. ¿No aman esta nueva era en sus finanzas?",2024-03-19 23:10:59,862,37,C4trrFmL7T6
31,La manera más segura de comprar en línea es utilizando la tarjeta virtual de tu TDC Nu. Comenta si tú ya la usas 👇🏼,2024-03-18 20:01:58,828,52,C4qxP1Svsvn
32,"Hablamos con mujeres en Nu sobre el tema de igualdad en el sector tecnológico y cómo sumar para que cada vez más mujeres sean dueñas de su futuro. 

Para leer más sobre la entrevistas con Isa, Ximena y Arantxa entra a #BlogNu",2024-03-15 19:23:24,376,27,C4i-cs4LDjU
33,"Cuando esté aquí la Era Nu no diremos nada, pero habrá señales. Las señales: ☄️☄️☄️",2024-03-14 18:25:39,939,101,C4gS-_tLYyO
34,"Para ti, ¿cuál es el ganador 🍿🎬?",2024-03-10 20:13:55,325,47,C4WMQQPP1U1
35,"¡Que cada vez sean más las mujeres que son dueñas de su futuro! Mujeres en Nu hablan sobre educación financiera, equidad de género en la industria y otros temas en BlogNu. Entra al link de la bio para leer las entrevistas completas.",2024-03-08 20:14:02,520,50,C4RCrYipg6_
36,"¡Bienvenido a la era de las Cajitas Nu!

La era en la que no importa cuántas metas tengas, puedes hacer una Cajita Nu para cada una de ellas y nombrarlas como quieras.

Con Cuenta Nu tu dinero crece y tus metas también.

Entra a tu app Nu y crea muchas Cajitas.

GAT nominal 16.18% y GAT real 11.57%. Aprende más en nu.com.mx/cuenta",2024-03-08 00:52:43,619,33,C4O9xnWLaGN
37,¿Se imaginan vivir en la prehistoria financiera? Sería como vivir sin internet en pleno 2024. Lo bueno es que con la Era Nu el control de tu dinero lo tienes tú 24/7.,2024-03-05 23:09:28,585,49,C4JoXutLhvv
38,Cada día son más las personas que se suman a la comunidad morada. Gracias a nuestros 5.5 millones de clientes por ser parte de Nu.,2024-02-29 23:52:27,547,51,C381R9mp2P0
39,Deja que el universo te guíe por la senda de la plenitud financiera. Visita la relajante experiencia auditiva de Academia Nu en el piso 3 del @museomide y empieza a vibrar alto con tu cartera. Numasté 🧘 ☯️,2024-02-28 23:59:40,1166,30,C36RWLJr1wE
40,"Cruzar el charco, darle una manita al depa, cambiar de coche…

Bienvenido a la era en donde puedes tener muchas Cajitas Nu y nombrarlas como quieras.

Con Cuenta Nu tu dinero crece y tus metas también.

Entra a tu app Nu y crea muchas Cajitas.",2024-02-26 23:11:23,1871,214,C31CNPrxlsE
41,"El más reciente reporte de resultados de Nubank indica que tras el último trimestre del 2023 se obtuvo una utilidad neta de US$ 360,9 millones, marcando un hito financiero que supera la marca de los 1,000 millones de dólares en el 2023, logrando alcanzar los 93.9 millones de clientes a nivel global, y contando… 

Estos números nos hacen pensar que nuestro modelo de negocio, centrado en el cliente, nos lleva por el camino correcto y nos brinda un crecimiento exponencial. A nivel local, solo en el último trimestre del año dimos la bienvenida a 1.2 millones de clientes en Nu México, cerrando el año con 5.2 millones, lo que nos proporciona una base sólida para desarrollar productos y servicios que seguirán construyendo un futuro financiero más accesible e innovador para todos nuestros clientes. 

Si quieres leer más haz clic en el enlace de nuestra BIO 💜",2024-02-23 00:33:58,1057,71,C3q4gHDNcha
42,¿Cómo no amar la Era Nu si te da flexibilidad de pagos en tu TDC Nu?,2024-02-12 23:33:42,475,33,C3RBp6jNem-
43,"Conoce todo acerca del “Impacto Nu”, un estudio que nos ayuda a entender cómo nuestros productos impactan la vida de los NuLovers más allá de lo económico, destacando la salud y el bienestar emocional. ¿Y a ti cómo te ha ayudado la moradita? Te leemos en los comentarios 💜",2024-02-09 00:52:44,1147,61,C3G3hWLpnjw
44,"¿Quieres hacer compras en línea de forma segura? Activa tu Tarjeta Virtual desde la app de Nu; puedes bloquearla, eliminarla y crear una nueva las veces que lo necesites. Deja un 💜 si ya la usas.",2024-02-08 00:06:35,869,75,C3ENV6Np-Do
45,"Dile WELCOME al dinero de Estados Unidos, porque ahora ya es posible recibir dinero del otro lado, directo en tu Cuenta Nu a través de @felixpago 

Es tan fácil como enviar un WhatsApp.

Entra al link en la bio y descubre todos los detalles.",2024-02-01 23:09:23,471,40,C20qBXip-Fm
46,"Manda este post de apreciación a Cuenta Nu, para que tus amigos empiecen a ahorrar 🙏 Deja un 💯 si ya lo hiciste.",2024-01-23 23:58:42,1166,129,C2dknjCNdWf
47,"Antes de ser trend, Nu ya era bien coquette.",2024-01-19 20:46:46,2758,119,C2S7eVBp0z3
48,Tíiiipico que fuiste el primero de tu grupo en tener Nu y ahora todos aman la moradita gracias a ti. Etiquétalos aquí para que te compren un helado.,2024-01-15 23:43:10,742,108,C2I8ew6NJVq
49,"Tu última compra con tu TDC Nu dice mucho de tu estilo de vida, comenta cuál fue para conocerte más 👇🏼👀",2024-01-12 00:50:10,941,154,C1-w979vvUv
50,No dejes para mañana esa visita al veterinario. Paga con tu TDC Nu y lleva a tu mascota a su chequeo anual. Pon un 🐶🐱 si ya lo hiciste.,2024-01-10 23:15:10,994,69,C18BTRbr6kY
51,Con Nu puedes diferir cualquier compra en un par de clics. Así puedes comprar lo que te gusta y pagar a tu ritmo. Deja un 💜 si también quieres iniciar 2024 con nuevo outfit.,2024-01-06 00:38:22,374,27,C1vS2QktEOS
52,"Iniciamos el 2024 compartiéndoles que David Vélez, CEO y Fundador de Nu, fue reconocido por The Economist, como uno de los mejores CEO del mundo. Asimismo, nuestra cofundadora y CGO Cristina Junqueira fue elegida la primera y más inspiradora ejecutiva en el ranking de las 100 mujeres más destacadas de la industria en 2023. Da clic en el link de la bio para todos los detalles.",2024-01-05 00:44:05,1166,33,C1sutXpBCf6
53,Conseguir el equilibrio financiero ahora es más relajante que nunca. 🧘🏽‍♀️☯️ Ve a link de la bio e inscríbete gratis en Academia Nu.,2023-12-22 19:00:21,584,23,C1KpCacLKXo
54,¿Cuál fue su regalo favorita de nuestra serie de regalos Nu It Yourself? ¿Hicieron alguno?,2023-12-21 19:17:22,736,31,C1IGMJrrPtx
