,caption,date,likes,comments,shortcode
19,"¡Escoge bien, escoge Hey! 😎 Aprovecha tus recompensas activando la anualidad desde tu App Hey. 

Comenta cuál fue tu última compra con tu Tarjeta Virtual Hey 💳 ✨",2024-04-16 22:55:55,103,14,C51wNPMu3br
20,"¡Comenta cuál es tu color favorito de la Colección Colores! 🌈👇🏼

#TarjetaHey #ColecciónColores",2024-04-16 19:16:17,121,3,C51VwTUOYAV
21,"¡Desbloquea un mundo de oportunidades en cuestión de minutos! 🌟 

¿Qué estás esperando? Descarga la App Hey, abre tu cuenta y descubre un mundo de facilidades que se adaptan a tu ritmo de vida 🚀💳",2024-04-12 22:42:02,247,7,C5rbcDDuIG1
22,"📣 ¡CDMX El Reto Hey ha llegado a tu ciudad 📣

Busca tu Boleto Dorado este 13 de abril, sigue las pistas, atrápalo y descubre premios para canjear en la Fan Shop y Hey Shop.

¡Activa notificaciones y no te pierdas las pistas de este sábado!

#CDMX",2024-04-11 22:31:52,882,63,C5o1eqUuvnX
23,"¿Cuánto te costó venir a ver a Messi? ⚽️🇦🇷 Desde un riñón hasta viajar del otro lado del país, esto nos respondieron los asistentes del partido. 👀

#HeyBanco #futbol #Messi #deporte #finanzas",2024-04-11 21:21:57,3486,45,C5otUllP1lj
24,"Como cuando pagar la cuenta en las salidas se convierte en una competencia. 😂🧾

#HeyBanco #finanzas #banco #recibo #amigos #yopagolacuenta",2024-04-10 18:58:10,6103,57,C5l4BAduWDb
25,"¿Te quedaste con ganas de viajar en Semana Santa? 🌴🚗

No te preocupes, ¡aquí te van algunas ideas para una escapadita de fin de semana!

Además, con tu Tarjeta de Crédito Hey, disfruta del 1% de recompensas en tus compras.

#Finanzas #Vacaciones #Viajes",2024-04-09 20:30:48,1960,13,C5jeCKouCH4
26,"¡Bienvenido al mundo Hey! 🎉

¿Y tú? ¿Ya estás disfrutando de un mundo de posibilidades?

Prepárate para llevar tus finanzas al siguiente nivel con Hey 🌟 

Conoce más en: banco.hey.inc",2024-04-09 01:07:03,164,6,C5hY2ohOKfz
27,"¡Es momento de conocer a los acreedores de las dinámicas de Tecate Pa’l Norte 2024!🦁

Desde el Auto Hey hasta una guitarra autografíada 🚗🎸👕 

A todos los acreedores, revisen su correo para más detalles sobre cómo reclamar su incentivo. 📧

¡Gracias a tod@s por ser parte de esta
emocionante experiencia! 🎉",2024-04-04 01:05:02,970,42,C5UgpfuOdtO
28,"¡Revive la emoción del Tecate Pa’l Norte con Hey! 🦁🎉

El festival más grande de Latinoamérica se vivió con la intensidad de Hey. 

Música, energía y amig@s en un sólo lugar 🎶🚀

¡Gracias por ser parte de esta experiencia inolvidable!",2024-04-04 00:16:18,3705,31,C5Ua67cu4IT
29,"Conoce todo lo que tenemos para ti este abril con Hey: 

⚡️¡Tasa del 13% en tu Inversión Hey!
⚡️Sé Fan y obtén mejores tasas, promociones y beneficios exclusivos ¡Actívala desde tu app!
⚡️Ahora tu saldo de tu Cuenta Hey Negocios te da un 12% de rendimiento anual. ¡Empieza a crecer tu negocio!
⚡️Conoce Nébula, la nueva Tarjeta Hey que ya está disponible en tu app. ¡Pide la tuya!
⚡️ Visitanos en nuestras en nuestras Fan Shops en Monterrey, CDMX y Guadalajara 
⚡️Tu Tarjeta Hey Metal ¡te está esperando en tu app! 
⚡️Se parte del Reto Hey y encuentra los incentivos que tenemos para ti en tu ciudad.

#Hey #Finanzas #Mexico",2024-04-03 00:29:12,314,17,C5R3wH1uYLI
30,"Poderoso y ascendente 🦁🔥

Así se vivió Hey en @tecatepalnorte este fin de semana ¡Gracias por visitarnos y nos vemos en 2025!

#TecatePalNorte #PalNorte",2024-04-01 22:47:56,1541,21,C5PHXpRupVT
31,"¡Área de descanso, snacks, zona de carga, baños limpios y más amenidades te esperan en nuestro hospitality de @tecatepalnorte! 😮‍💨 ¿Nos visitaste? 😎

#HeyBanco #TecatePalNorte #hospitality #festival",2024-04-01 01:12:21,905,11,C5Myz5aOpLZ
32,"¿Cuánto te costó venir a @tecatepalnorte? 🤑 Entrevistamos a algunos de los asistentes del festival y esto nos dijeron… 👀

#HeyBanco #TecatePalNorte #finanzas #festival #Monterrey",2024-03-31 23:40:01,489,4,C5Mn53DOv7_
33,"¡El Auto Hey puede ser tuyo! Ven al Espacio Hey, participa en cualquiera de nuestras dinámicas y podrías llévatelo. 🔥😎",2024-03-31 23:18:04,13205,36,C5MleTwOtQp
34,"¡Es hora de aprovechar al máximo nuestro último día en @tecatepalnorte! 🦁🔥

Ven y despídete con estilo, disfrutando de todas nuestras dinámicas e increíbles incentivos. ✨🚗 

#TecatePalNorte #PalNorte #Monterrey",2024-03-31 20:04:59,627,2,C5MP7MJuBO_
35,"Adivina el último dígito de mi Tarjeta Hey, ¡y te llevamos a @tecatepalnorte! 👀💳

Seguimos celebrando con ustedes en el festival más grande de México, los esperamos en nuestra activación y hospitality. 🦁

#HeyBanco #TecatePalNorte #festival #tarjeta #banco",2024-03-30 21:36:10,1613,15,C5J1A4COtN5
36,"¡Tecate Pa’l Norte, hemos llegado! 🤟🏼🦁 Visítanos en nuestro Espacio Hey y participa en todas las dinámicas:

🎰 ¡Prueba tu suerte en Fortuna7! Participa por Merch Hey, cámaras, AirPods y hasta un iPhone.

💄 En nuestra estación de glitter y makeup, nuestros estilistas te darán un look fuera de este mundo.

📸 Inmortaliza tu experiencia con una foto en nuestra Zona Polaroid.

💳 ¡Pasa a recoger nuestra nueva tarjeta Nébula, sin ningún costo!

🏎️ Recuerda que por cada interacción que tengas dentro de nuestra activación, estás participando por nuestro Auto Hey. 

#HeyBanco #TecatePalNorte #festival #Monterrey",2024-03-30 01:18:21,776,9,C5HpRfsOyQX
37,"¡Ven jugar al Espacio Hey en @tecatepalnorte! 🎰

Participa en Fortuna 7 para llevarte Merch Hey, Cámaras Instax, AirPods, Nintendo Switch y hasta un iPhone 🍀

#tecatepalnorte #palnorte #monterrey #mty",2024-03-29 22:27:52,1032,16,C5HWI2uuPVh
38,"¡Última oportunidad! Ven y tómale una foto al Boleto Dorado, sube una story taggeandonos 📸 y podrías llévarte abonos para Tecate Pa’l Norte 🦁 

📍Parque El Capitán

Estaremos hasta las 7:30pm ¡corran!",2024-03-29 00:30:29,391,23,C5E_5a2uM8M
39,"¡Hey! ¿List@s para mañana? Estamos a 1 día del mejor festival de México. 

Nos vemos en @tecatepalnorte🦁 

#hey #palnorte #festival",2024-03-28 23:36:26,309,2,C5E5srcCK3i
40,"¡Hey, dice! Dinámica sorpresa en la Fan Shop de Monterrey, conoce a los acreedores de abonos dobles VIP para @tecatepalnorte 🦁",2024-03-28 18:50:53,254,1,C5EZBt6uEAt
41,"🚨 ¡ARTISTA SORPRESA REVELADO! 🚨

El Perrito Hey nos espera en @tecatepalnorte este fin de semana. ¿Están listos para el festival? 👀🦁

#HeyBanco #TecatePalNorte #festival #Monterrey",2024-03-27 22:43:38,574,11,C5CO5xludXa
42,"Si ves el Auto Hey en Monterrey, tómale una story, taggeanos ¡y podrías llevarte 1 abono para @tecatepalnorte! 🦁

¡Corran a buscarlo! 🏎️",2024-03-27 18:44:37,440,32,C5BzhOZOzCT
43,"¡Seguimos llevando a más de ustedes al festival más esperado del año! 🤩🦁 

Recuerden que la última oportunidad para llevarse abonos para @tecatepalnorte será este jueves 28 a las 12:00 PM en la Fan Shop MTY. 👀

#HeyBanco #TecatePalNorte #festival #concierto #banco #Monterrey",2024-03-26 23:56:18,806,37,C4_v5HqO46v
44,"✨¿Listo para vivir una experiencia inolvidable en el Tecate Pa’l Norte? 🎶 

Descarga tu App Hey, abre tu Cuenta Hey hoy y desbloquea estos increíbles beneficios.

Términos y condiciones: banco.hey.inc/PalNorte2024",2024-03-26 22:13:51,202,8,C4_msuEOb2n
45,"SORRRPRESA BBS 🫢

Con mucho amor💖 les presentamos nuestro póster oficial para esta segunda edición de #CutePrideFestival 🌈📆 8 de Junio

📍 Parque Fundidora
🎟 Compra tus boletos a en superboletos.com o en puntos de venta oficiales, Innova Sport, Taquilla Arena Monterrey y Palacio de Hierro.

👉🏽 bit.ly/BoletosCute

#CutePrideFestival #Cute #PrideMonth #PrideFestival #Pride #Mty #Monterrey",2024-03-26 18:01:12,2412,132,C4_JyPYpNoa
